address,name,category,status,file,notes
0x8001c980,DAT_8001c980,game,TODO,,
0x8001c9a4,s_VLS_R34_8001c9a4,string_data,MATCHED,,
0x8001c9ac,s_VLS7th_8001c9ac,string_data,MATCHED,,
0x8001c9b4,s_Tarzan_R33_8001c9b4,string_data,MATCHED,,
0x8001c9c8,s_SIL80_8001c9c8,string_data,MATCHED,,
0x8001c9d0,s_SEVEN_8001c9d0,string_data,MATCHED,,
0x8001c9e0,DAT_8001c9e0,game,TODO,,
0x8001c9e8,DAT_8001c9e8,game,TODO,,
0x8001c9f0,s_Tarzan_SPL_8001c9f0,string_data,MATCHED,,
0x8001c9fc,s_Orido86_8001c9fc,string_data,MATCHED,,
0x8001ca1c,s_NOMU_S15_8001ca1c,string_data,MATCHED,,
0x8001ca34,s_KOMA_S14_8001ca34,string_data,MATCHED,,
0x8001ca40,s_GReddy8_8001ca40,string_data,MATCHED,,
0x8001ca48,s_GReddy_ALT_8001ca48,string_data,MATCHED,,
0x8001ca54,s_FF_DRAG_8001ca54,string_data,MATCHED,,
0x8001ca5c,s_DaiSIL_S15_8001ca5c,string_data,MATCHED,,
0x8001ca88,s_Akira86_8001ca88,string_data,MATCHED,,
0x8001ca90,DAT_8001ca90,game,TODO,,
0x8001ca94,s_Tarzan_R34_8001ca94,string_data,MATCHED,,
0x8001caa0,s_NOS101_8001caa0,string_data,MATCHED,,
0x8001caa8,s_PLAYER_8001caa8,string_data,MATCHED,,
0x8001cac4,DAT_8001cac4,game,TODO,,
0x8001cac8,DAT_8001cac8,game,TODO,,
0x8001cb50,DAT_8001cb50,game,TODO,,
0x8001cb54,DAT_8001cb54,game,TODO,,
0x8001cb58,DAT_8001cb58,game,TODO,,
0x8001cb5c,DAT_8001cb5c,game,TODO,,
0x8001cb80,DAT_8001cb80,game,TODO,,
0x8001cba4,DAT_8001cba4,game,TODO,,
0x8001cbc8,DAT_8001cbc8,game,TODO,,
0x8001cbec,DAT_8001cbec,game,TODO,,
0x8001cc10,DAT_8001cc10,game,TODO,,
0x8001cc34,DAT_8001cc34,game,TODO,,
0x8001cc58,DAT_8001cc58,game,TODO,,
0x8001cc7c,DAT_8001cc7c,game,TODO,,
0x8001cca0,DAT_8001cca0,game,TODO,,
0x8001ccc4,DAT_8001ccc4,game,TODO,,
0x8001cce8,DAT_8001cce8,game,TODO,,
0x8001cd0c,DAT_8001cd0c,game,TODO,,
0x8001cd30,DAT_8001cd30,game,TODO,,
0x8001cd54,DAT_8001cd54,game,TODO,,
